"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3703","Запуск на эмуляции iPhone 14 Pro, Pixel 7, iPad Mini","tests.mobile","Wed Jun 17 12:12:00 UTC 2026","passed","Wed Jun 17 12:12:04 UTC 2026","TestCrossDevice","test_cross_device","",""
"","1221","Проверка отображения при device_scale_factor (2x, 3x)","tests.mobile","Wed Jun 17 12:12:09 UTC 2026","passed","Wed Jun 17 12:12:10 UTC 2026","TestCrossDevice","test_cross_device","",""
"","3101","Эмуляция prefers-reduced-motion: анимации отключены/упрощены, контент доступен","tests.mobile","Wed Jun 17 12:12:14 UTC 2026","passed","Wed Jun 17 12:12:17 UTC 2026","TestCrossDevice","test_cross_device","",""
"","140","После удаления товара через кнопку Remove на детальной странице корзина пуста","tests.web","Wed Jun 17 12:14:30 UTC 2026","passed","Wed Jun 17 12:14:30 UTC 2026","TestInventory","test_inventory","",""
"","3340","Потребление памяти не увеличивается более чем на 20% при открытии 20 вкладок","tests.web","Wed Jun 17 12:14:42 UTC 2026","passed","Wed Jun 17 12:14:45 UTC 2026","TestPerformance","test_performance","",""
"","462","Пользователь может удалить товар из корзины","tests.web","Wed Jun 17 12:13:54 UTC 2026","passed","Wed Jun 17 12:13:55 UTC 2026","TestCart","test_cart","",""
"","681","Пользователь может войти с валидными данными, если до этого 5 раз пытался войти, используя неверный пароль","tests.web","Wed Jun 17 12:13:49 UTC 2026","passed","Wed Jun 17 12:13:50 UTC 2026","TestLogin","test_auth","",""
"","1507","Проверка отображения при device_scale_factor (2x, 3x)","tests.mobile","Wed Jun 17 12:12:11 UTC 2026","passed","Wed Jun 17 12:12:12 UTC 2026","TestCrossDevice","test_cross_device","",""
"","5368","test_check_mobile_002[mobile_page0]","SauceDemo mobile","Wed Jun 17 12:12:37 UTC 2026","passed","Wed Jun 17 12:12:42 UTC 2026","TestCheckoutMobile","test_l42_mobile","",""
"","888","Меню сворачивается в иконку, раскрывается по тапу","tests.mobile","Wed Jun 17 12:13:11 UTC 2026","passed","Wed Jun 17 12:13:12 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","183","Пользователь может продолжить оформление заказа, если заполнены поля First Name, Last Name, Postal Code","tests.web","Wed Jun 17 12:14:05 UTC 2026","passed","Wed Jun 17 12:14:05 UTC 2026","TestCheckout","test_checkout","",""
"","312","Пользователь не может войти с невалидными данными","tests.web","Wed Jun 17 12:13:48 UTC 2026","passed","Wed Jun 17 12:13:48 UTC 2026","TestLogin","test_auth","",""
"","371","test_check_mobile_003[mobile_page0]","SauceDemo mobile","Wed Jun 17 12:12:43 UTC 2026","passed","Wed Jun 17 12:12:43 UTC 2026","TestCheckoutMobile","test_l42_mobile","",""
"","101","Загрузка страницы inventory не превышает 3 секунды","tests.web","Wed Jun 17 12:14:32 UTC 2026","passed","Wed Jun 17 12:14:32 UTC 2026","TestPerformance","test_performance","",""
"","1421","Проверка, что товары прокручиваются без залипаний","tests.mobile","Wed Jun 17 12:13:15 UTC 2026","passed","Wed Jun 17 12:13:17 UTC 2026","TestMobileTouch","test_mobile_touch","",""
"","1760","Параллельный запуск на 3 устройствах: сессии изолированы, тесты не влияют друг на друга","tests.mobile","Wed Jun 17 12:12:28 UTC 2026","passed","Wed Jun 17 12:12:30 UTC 2026","TestCrossDevice","test_cross_device","",""
"","439","Пользователь может добавить несколько товаров в корзину","tests.web","Wed Jun 17 12:13:52 UTC 2026","passed","Wed Jun 17 12:13:52 UTC 2026","TestCart","test_cart","",""
"","384","Нет 'мёртвых' зон (элементы, на которые нельзя тапнуть)","tests.mobile","Wed Jun 17 12:13:29 UTC 2026","passed","Wed Jun 17 12:13:29 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","528","Содержимое корзины сохраняется после перезагрузки страницы","tests.web","Wed Jun 17 12:13:58 UTC 2026","passed","Wed Jun 17 12:13:59 UTC 2026","TestCart","test_cart","",""
"","328","Пользователь не может войти с невалидными данными","tests.web","Wed Jun 17 12:13:46 UTC 2026","passed","Wed Jun 17 12:13:47 UTC 2026","TestLogin","test_auth","",""
"","1178","Скриншоты с префиксом устройства: TC_010_<step>_<device>.png","tests.mobile","Wed Jun 17 12:12:30 UTC 2026","passed","Wed Jun 17 12:12:32 UTC 2026","TestCrossDevice","test_cross_device","",""
"","919","Запуск на эмуляции iPhone 14 Pro, Pixel 7, iPad Mini","tests.mobile","Wed Jun 17 12:12:05 UTC 2026","passed","Wed Jun 17 12:12:06 UTC 2026","TestCrossDevice","test_cross_device","",""
"","428","Двойной тап не вызывает зум страницы","tests.mobile","Wed Jun 17 12:13:17 UTC 2026","passed","Wed Jun 17 12:13:18 UTC 2026","TestMobileTouch","test_mobile_touch","",""
"","38","Проверка, что сайт не требует зума/горизонтального скролла","tests.mobile","Wed Jun 17 12:13:04 UTC 2026","passed","Wed Jun 17 12:13:04 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","344","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Wed Jun 17 12:14:10 UTC 2026","passed","Wed Jun 17 12:14:10 UTC 2026","","test_cross_browser","",""
"","398","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Wed Jun 17 12:14:19 UTC 2026","passed","Wed Jun 17 12:14:20 UTC 2026","","test_cross_browser","",""
"","1964","Все ссылки в бургер-меню кликабельны, меню закрывается","tests.mobile","Wed Jun 17 12:13:30 UTC 2026","passed","Wed Jun 17 12:13:32 UTC 2026","TestNavigation","test_navigation_ui","",""
"","220","Страницы с путями /, /inventory, /cart, /checkout-*, /complete не имеют горизонтальной прокрутки","tests.mobile","Wed Jun 17 12:13:08 UTC 2026","passed","Wed Jun 17 12:13:08 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","55","При клике по изображению товара открывается подробная страница товара","tests.web","Wed Jun 17 12:14:29 UTC 2026","passed","Wed Jun 17 12:14:29 UTC 2026","TestInventory","test_inventory","",""
"","336","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Wed Jun 17 12:14:10 UTC 2026","passed","Wed Jun 17 12:14:11 UTC 2026","","test_cross_browser","",""
"","225","Отсутствие 'мигания' контента при загрузке","tests.mobile","Wed Jun 17 12:13:00 UTC 2026","passed","Wed Jun 17 12:13:01 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","214","На странице подтверждения заказа отображается корректное количество товаров и итоговая сумма (1 товар)","tests.web","Wed Jun 17 12:14:08 UTC 2026","passed","Wed Jun 17 12:14:08 UTC 2026","TestCheckout","test_checkout","",""
"","1375","Mobile E2E: login → add to cart → checkout","tests.mobile","Wed Jun 17 12:12:45 UTC 2026","passed","Wed Jun 17 12:12:46 UTC 2026","TestMobile","test_mobile_e2e","",""
"","282","Поля ввода имеют понятные placeholder","tests.mobile","Wed Jun 17 12:13:20 UTC 2026","passed","Wed Jun 17 12:13:21 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","261","На странице подтверждения заказа отображается корректное количество товаров и итоговая сумма (2 товара)","tests.web","Wed Jun 17 12:14:09 UTC 2026","passed","Wed Jun 17 12:14:09 UTC 2026","TestCheckout","test_checkout","",""
"","477","Бэкенд получает мобильный UA: ответ содержит мобильные классы и структуру","tests.mobile","Wed Jun 17 12:12:22 UTC 2026","passed","Wed Jun 17 12:12:23 UTC 2026","TestCrossDevice","test_cross_device","",""
"","228","Кнопки Add to cart кликабельны на десктопе и мобильном устройстве","tests.mobile","Wed Jun 17 12:13:34 UTC 2026","passed","Wed Jun 17 12:13:34 UTC 2026","TestNavigation","test_navigation_ui","",""
"","7","На странице товаров отображается 6 товаров","tests.web","Wed Jun 17 12:14:22 UTC 2026","passed","Wed Jun 17 12:14:22 UTC 2026","TestInventory","test_inventory","",""
"","509","Изображения не выходят за пределы контейнера","tests.mobile","Wed Jun 17 12:13:07 UTC 2026","passed","Wed Jun 17 12:13:07 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","55","Все интерактивные элементы ≥20×20 px","tests.mobile","Wed Jun 17 12:13:05 UTC 2026","passed","Wed Jun 17 12:13:05 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","339","Оптимизация изображений для мобильных","tests.mobile","Wed Jun 17 12:13:01 UTC 2026","passed","Wed Jun 17 12:13:01 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","353","Пользователь может войти с валидными данными","tests.web","Wed Jun 17 12:13:43 UTC 2026","passed","Wed Jun 17 12:13:43 UTC 2026","TestLogin","test_auth","",""
"","797","Эмуляция viewport: width: 667, height: 375","tests.mobile","Wed Jun 17 12:13:10 UTC 2026","passed","Wed Jun 17 12:13:10 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
