"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","364","Пользователь не может войти с невалидными данными","tests.web","Thu May 28 03:58:12 UTC 2026","passed","Thu May 28 03:58:12 UTC 2026","TestLogin","test_auth","",""
"","421","Корзина пуста при открытии без добавления товаров","tests.web","Thu May 28 03:58:26 UTC 2026","passed","Thu May 28 03:58:26 UTC 2026","TestCart","test_cart","",""
"","1023","Скриншоты с префиксом устройства: TC_010_<step>_<device>.png","tests.mobile","Thu May 28 03:56:57 UTC 2026","passed","Thu May 28 03:56:58 UTC 2026","TestCrossDevice","test_cross_device","",""
"","1838","Параллельный запуск на 3 устройствах: сессии изолированы, тесты не влияют друг на друга","tests.mobile","Thu May 28 03:56:48 UTC 2026","passed","Thu May 28 03:56:50 UTC 2026","TestCrossDevice","test_cross_device","",""
"","624","Изображения не выходят за пределы контейнера","tests.mobile","Thu May 28 03:57:33 UTC 2026","passed","Thu May 28 03:57:34 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","381","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Thu May 28 03:58:40 UTC 2026","passed","Thu May 28 03:58:40 UTC 2026","","test_cross_browser","",""
"","432","test_check_mobile_003[mobile_page1]","SauceDemo mobile","Thu May 28 03:57:09 UTC 2026","passed","Thu May 28 03:57:10 UTC 2026","TestCheckoutMobile","test_l42_mobile","",""
"","314","Поля ввода имеют понятные placeholder","tests.mobile","Thu May 28 03:57:47 UTC 2026","passed","Thu May 28 03:57:48 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","186","Пользователь не может продолжить оформление заказа, если поле Last Name не заполнено","tests.web","Thu May 28 03:58:31 UTC 2026","passed","Thu May 28 03:58:31 UTC 2026","TestCheckout","test_checkout","",""
"","307","Нет блокирующих запросов к недоступным доменам","tests.mobile","Thu May 28 03:57:20 UTC 2026","passed","Thu May 28 03:57:21 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","45","Проверка, что сайт не требует зума/горизонтального скролла","tests.mobile","Thu May 28 03:57:30 UTC 2026","passed","Thu May 28 03:57:30 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","464","Элементы не перекрывают друг друга при тапе","tests.mobile","Thu May 28 03:57:45 UTC 2026","passed","Thu May 28 03:57:46 UTC 2026","TestMobileTouch","test_mobile_touch","",""
"","733","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Thu May 28 03:58:42 UTC 2026","passed","Thu May 28 03:58:43 UTC 2026","","test_cross_browser","",""
"","363","Пользователь может войти с валидными данными","tests.web","Thu May 28 03:58:11 UTC 2026","passed","Thu May 28 03:58:11 UTC 2026","TestLogin","test_auth","",""
"","476","Пользователь может добавить несколько товаров в корзину","tests.web","Thu May 28 03:58:20 UTC 2026","passed","Thu May 28 03:58:21 UTC 2026","TestCart","test_cart","",""
"","565","Пользователь может удалить товар из корзины","tests.web","Thu May 28 03:58:22 UTC 2026","passed","Thu May 28 03:58:23 UTC 2026","TestCart","test_cart","",""
"","362","Пользователь не может войти с невалидными данными","tests.web","Thu May 28 03:58:16 UTC 2026","passed","Thu May 28 03:58:16 UTC 2026","TestLogin","test_auth","",""
"","484","Пользователь остаётся авторизованным после перезагрузки страницы","tests.web","Thu May 28 03:58:18 UTC 2026","passed","Thu May 28 03:58:19 UTC 2026","TestLogin","test_auth","",""
"","39","На странице товаров отображаются товары с определенными ценами","tests.web","Thu May 28 03:58:53 UTC 2026","passed","Thu May 28 03:58:53 UTC 2026","TestInventory","test_inventory","",""
"","723","Пользователь может войти с валидными данными, если до этого 5 раз пытался войти, используя неверный пароль","tests.web","Thu May 28 03:58:17 UTC 2026","passed","Thu May 28 03:58:18 UTC 2026","TestLogin","test_auth","",""
"","370","Время отклика при авторизации не превышает 1 секунды","tests.web","Thu May 28 03:59:03 UTC 2026","passed","Thu May 28 03:59:03 UTC 2026","TestPerformance","test_performance","",""
"","616","Проверка, что сайт не требует зума/горизонтального скролла","tests.mobile","Thu May 28 03:57:29 UTC 2026","passed","Thu May 28 03:57:29 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","629","Быстрые последовательные тапы не дублируют действия","tests.mobile","Thu May 28 03:57:46 UTC 2026","passed","Thu May 28 03:57:47 UTC 2026","TestMobileTouch","test_mobile_touch","",""
"","287","Кнопки Add to cart кликабельны на десктопе и мобильном устройстве","tests.mobile","Thu May 28 03:58:00 UTC 2026","passed","Thu May 28 03:58:01 UTC 2026","TestNavigation","test_navigation_ui","",""
"","231","На странице подтверждения заказа отображается корректное количество товаров и итоговая сумма (1 товар)","tests.web","Thu May 28 03:58:37 UTC 2026","passed","Thu May 28 03:58:37 UTC 2026","TestCheckout","test_checkout","",""
"","369","Пользователь может войти с валидными данными","tests.web","Thu May 28 03:58:03 UTC 2026","passed","Thu May 28 03:58:03 UTC 2026","TestLogin","test_auth","",""
"","777","Счётчик корзины не дублируется при повторном добавлении одного товара","tests.web","Thu May 28 03:58:21 UTC 2026","passed","Thu May 28 03:58:22 UTC 2026","TestCart","test_cart","",""
"","253","Страницы с путями /, /inventory, /cart, /checkout-*, /complete не имеют горизонтальной прокрутки","tests.mobile","Thu May 28 03:57:35 UTC 2026","passed","Thu May 28 03:57:35 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","37","На странице товаров отображаются товары с определенными названиями","tests.web","Thu May 28 03:58:52 UTC 2026","passed","Thu May 28 03:58:52 UTC 2026","TestInventory","test_inventory","",""
"","510","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Thu May 28 03:58:47 UTC 2026","passed","Thu May 28 03:58:48 UTC 2026","","test_cross_browser","",""
"","2733","Эмуляция prefers-reduced-motion: анимации отключены/упрощены, контент доступен","tests.mobile","Thu May 28 03:56:42 UTC 2026","passed","Thu May 28 03:56:45 UTC 2026","TestCrossDevice","test_cross_device","",""
"","5381","Пользователь может войти с валидными данными","tests.web","Thu May 28 03:58:04 UTC 2026","passed","Thu May 28 03:58:09 UTC 2026","TestLogin","test_auth","",""
"","473","test_check_mobile_003[mobile_page0]","SauceDemo mobile","Thu May 28 03:57:08 UTC 2026","passed","Thu May 28 03:57:08 UTC 2026","TestCheckoutMobile","test_l42_mobile","",""
"","316","Отсутствие 'мигания' контента при загрузке","tests.mobile","Thu May 28 03:57:27 UTC 2026","passed","Thu May 28 03:57:27 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","295","На странице подтверждения заказа отображается корректное количество товаров и итоговая сумма (2 товара)","tests.web","Thu May 28 03:58:38 UTC 2026","passed","Thu May 28 03:58:38 UTC 2026","TestCheckout","test_checkout","",""
"","363","Пользователь может войти с валидными данными","tests.web","Thu May 28 03:58:10 UTC 2026","passed","Thu May 28 03:58:10 UTC 2026","TestLogin","test_auth","",""
"","5","На странице товаров отображается 6 товаров","tests.web","Thu May 28 03:58:51 UTC 2026","passed","Thu May 28 03:58:51 UTC 2026","TestInventory","test_inventory","",""
"","365","Пользователь не может войти с невалидными данными","tests.web","Thu May 28 03:58:13 UTC 2026","passed","Thu May 28 03:58:14 UTC 2026","TestLogin","test_auth","",""
"","549","Кнопка Continue Shopping возвращает пользователя на страницу товаров","tests.web","Thu May 28 03:58:25 UTC 2026","passed","Thu May 28 03:58:25 UTC 2026","TestCart","test_cart","",""
"","212","Кнопка Cancel на шаге оформления заказа возвращает пользователя в корзину","tests.web","Thu May 28 03:58:34 UTC 2026","passed","Thu May 28 03:58:35 UTC 2026","TestCheckout","test_checkout","",""
"","356","Пользователь не может войти с невалидными данными","tests.web","Thu May 28 03:58:15 UTC 2026","passed","Thu May 28 03:58:15 UTC 2026","TestLogin","test_auth","",""
"","1473","Запуск на эмуляции iPhone 14 Pro, Pixel 7, iPad Mini","tests.mobile","Thu May 28 03:56:31 UTC 2026","passed","Thu May 28 03:56:32 UTC 2026","TestCrossDevice","test_cross_device","",""
"","254","Кнопки Add to cart кликабельны на десктопе и мобильном устройстве","tests.mobile","Thu May 28 03:58:01 UTC 2026","passed","Thu May 28 03:58:02 UTC 2026","TestNavigation","test_navigation_ui","",""
"","487","Контраст текста/фона соответствует WCAG 2.1 AA (≥ 4.5:1)","tests.mobile","Thu May 28 03:57:51 UTC 2026","passed","Thu May 28 03:57:51 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","813","Полный цикл заказа товара","tests.web","Thu May 28 03:58:50 UTC 2026","passed","Thu May 28 03:58:50 UTC 2026","TestCheckout","test_e2e","",""
"","976","Добавить товар → page.reload() → товар в корзине","tests.mobile","Thu May 28 03:57:54 UTC 2026","passed","Thu May 28 03:57:55 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","1094","Замер First Contentful Paint (FCP) на мобильном","tests.mobile","Thu May 28 03:57:25 UTC 2026","passed","Thu May 28 03:57:26 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","398","Время отклика кнопки Login на мобильном","tests.mobile","Thu May 28 03:57:19 UTC 2026","passed","Thu May 28 03:57:20 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","1610","Корзина не изолирована между пользователями на одном устройстве","tests.web","Thu May 28 03:58:28 UTC 2026","passed","Thu May 28 03:58:29 UTC 2026","TestCart","test_cart","",""
"","48","При сортировке товаров по возрастанию цены товары располагаются от меньшей к большей цене","tests.web","Thu May 28 03:58:56 UTC 2026","passed","Thu May 28 03:58:56 UTC 2026","TestInventory","test_inventory","",""
"","383","Оптимизация изображений для мобильных","tests.mobile","Thu May 28 03:57:27 UTC 2026","passed","Thu May 28 03:57:28 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
